Ablutofobia,Miedo a lavarse o bañarse.
Acarofobia,Miedo a las picaduras de insectos.
Acerofobia,Miedo a los ácidos.
Kakorrharfiofobia,Miedo al fracaso.
Kenofobia,Miedo al vacío.
Kinesofobia,Miedo al movimiento.
